#n,m,mnU,localU,mnTime,localTime
6,25,0.39521915586665235,0.29179166190048816,1.24,31.38
6,26,0.39068659701865527,0.28903314799900653,1.33,35.67
6,27,0.37329637457194775,0.2878999073689045,1.49,41.98
6,28,0.3691635542257913,0.28859489461990845,1.67,48.86
6,29,0.3585575979177282,0.28612056675786457,1.78,57.09
6,30,0.3510887606462791,0.28650345531459065,2.08,68.2
6,31,0.3915485893521272,0.282331568868408,1.54,61.95
6,32,0.3831692636641952,0.2834671095512426,1.6,70.37
6,33,0.3747891560940928,0.2844249448433968,1.85,84.6
6,34,0.3676233850243145,0.2835955686182509,1.99,97.53
6,35,0.35829142132023295,0.2837957713839907,2.27,113.91
6,36,0.3471651152503701,0.2833508669396253,2.51,130.48
6,37,0.38818415758456015,0.2823895245661504,1.93,112.95
6,38,0.375903170516785,0.28171841697250355,2.17,135.3
6,39,0.37663656839193993,0.279916721844714,2.36,158.02
6,40,0.36984750380774956,0.28256616158658976,2.56,178.02
6,41,0.3540807467324706,0.2816154287489256,2.97,208.93
6,42,0.3427533040559893,0.2829207629548954,3.38,244.93
6,43,0.3843957976013533,0.2774356929234729,2.5,205.62
6,44,0.37602671245545805,0.2809049153497158,2.65,222.54
6,45,0.3744651921839413,0.27814776338867064,2.93,261.32
6,46,0.3690312318928475,0.27718198701789853,3.6,404.03
6,47,0.3502810055022668,0.27747077620402755,3.77,410.31
6,48,0.3450522232020219,0.2778900878019218,4.38,452.69
6,49,0.38239870294741235,0.2772731273368809,2.98,350.59
6,50,0.37450934364134203,0.2763229669057593,3.57,401.0
6,51,0.3719937569356221,0.2774623276442641,3.75,441.16
6,52,0.360648543482122,0.2766712533518184,4.18,498.53
6,53,0.3530069334705417,0.27663113652290167,4.68,569.76
6,54,0.346693851542959,0.27939584400269096,5.26,638.88
6,55,0.38317188487904635,0.2777905812300563,4.22,547.54
6,56,0.3704855972510774,0.2782547997648347,4.02,551.5
6,57,0.3688958503076879,0.2782260518909821,5.29,731.18
6,58,0.364427754959972,0.2774978574368087,5.78,820.26
6,59,0.34999995144395996,0.27514130525428077,5.88,861.7
6,60,0.3419700389404008,0.276614227617982,6.47,929.33
7,14,0.33701476117430124,0.28791629980493605,1.0,5.03
7,15,0.4127818012444308,0.30278983410495547,0.74,6.23
7,16,0.4108872919392049,0.29621629525124193,0.8,7.24
7,17,0.39885344455461225,0.2943571122551423,0.82,8.63
7,18,0.38525396963644754,0.2878215627716494,0.93,12.08
7,19,0.3718971998063404,0.2889941493946745,1.11,13.65
7,20,0.36088001516766643,0.2874864459995702,1.29,16.55
7,21,0.33852338363093865,0.2879176213424283,1.41,19.9
7,22,0.40747216693615024,0.2899519236197769,1.1,20.11
7,23,0.40304997318671065,0.2875092918669538,1.08,24.04
7,24,0.39590342047285654,0.2894469632338856,1.39,29.1
7,25,0.38026182116730234,0.28536682021920046,1.47,35.43
7,26,0.3653154560999933,0.2843959815357228,1.81,41.73
7,27,0.34921632311717843,0.2851728326151815,1.93,47.39
7,28,0.3388452678098195,0.28496753094299393,2.13,57.05
7,29,0.4052687064090284,0.2857241063860809,1.46,54.97
7,30,0.3947097690802529,0.28344095334533403,1.6,61.24
7,31,0.3849723501194108,0.27942729934847876,1.82,67.95
7,32,0.3797781379654055,0.28103447221462424,1.66,77.39
7,33,0.36686806637563474,0.2834218143639911,1.96,91.81
7,34,0.355910045492893,0.282008295846237,2.22,105.47
7,35,0.34522173391967265,0.2810085607272735,2.55,129.6
7,36,0.39348110285846305,0.28130791810752237,2.02,113.26
7,37,0.38532613156959805,0.2783984570652456,2.13,129.8
7,38,0.3819196214108969,0.27879986150854785,2.28,145.36
7,39,0.37152790881575753,0.2783186844914796,2.53,165.35
7,40,0.3619266777531418,0.27894152021950896,2.65,174.75
7,41,0.35297349655207044,0.2809859273975744,3.1,218.23
